counter,time,cube_pose_x,cube_pose_y,eef_pose_x,eef_pose_y,eef_pose_z,eef_vel_x,eef_vel_y,eef_vel_z,eef_pose_x_next,eef_pose_y_next,eef_pose_z_next,eef_vel_x_next,eef_vel_y_next,eef_vel_z_next
17,13.583,0.66,0.28,0.6446989398,0.3260025091,-0.1350297937,-0.249314408,-0.2740391336,-0.2203760897,0.6555442796,0.2725605194,-0.142735858,0.1352814259,-0.4343305551,0.025613463
18,13.684,0.66,0.28,0.6555442796,0.2725605194,-0.142735858,0.1352814259,-0.4343305551,0.025613463,0.6617473265,0.2593385367,-0.1389463018,0.0420309398,0.130397065,0.0484585166
19,13.783,0.66,0.28,0.6617473265,0.2593385367,-0.1389463018,0.0420309398,0.130397065,0.0484585166,0.4040641283,0.0055090056,-0.1392137826,-0.0656539084,-0.5342570287,0.2543983365
20,14.374,0.72,-0.12,0.4040641283,0.0055090056,-0.1392137826,-0.0656539084,-0.5342570287,0.2543983365,0.4545345424,0.0037123703,-0.1513970369,1.2785511409,0.4114050584,-0.1867918459
21,14.475,0.72,-0.12,0.4545345424,0.0037123703,-0.1513970369,1.2785511409,0.4114050584,-0.1867918459,0.5887373165,0.0364514696,-0.1499277788,1.1393330596,0.1889190019,0.1674862222
22,14.575,0.72,-0.12,0.5887373165,0.0364514696,-0.1499277788,1.1393330596,0.1889190019,0.1674862222,0.6643837715,0.046044015,-0.1393546054,0.5452989299,-0.0260656381,0.0123219911
23,14.676,0.72,-0.12,0.6643837715,0.046044015,-0.1393546054,0.5452989299,-0.0260656381,0.0123219911,0.7033798903,0.0080162935,-0.1396946412,0.2458783163,-0.715012366,3.2388604381E-05
24,14.775,0.72,-0.12,0.7033798903,0.0080162935,-0.1396946412,0.2458783163,-0.715012366,3.2388604381E-05,0.7148612836,-0.0847179327,-0.1383504524,-0.0132983171,-1.059920799,0.0220682516
25,14.875,0.72,-0.12,0.7148612836,-0.0847179327,-0.1383504524,-0.0132983171,-1.059920799,0.0220682516,0.704440767,-0.1637244287,-0.1358309235,-0.0521611124,-0.193037041,0.0223549589
26,14.981,0.72,-0.12,0.704440767,-0.1637244287,-0.1358309235,-0.0521611124,-0.193037041,0.0223549589,0.7121859002,-0.1451715318,-0.1343454032,0.1674254364,0.4603332857,0.0130335313
27,15.075,0.72,-0.12,0.7121859002,-0.1451715318,-0.1343454032,0.1674254364,0.4603332857,0.0130335313,0.4064489098,0.0079061805,-0.1363635889,-0.0549099468,-0.1476275932,0.0035064022
28,15.844,0.73,0.09,0.4064489098,0.0079061805,-0.1363635889,-0.0549099468,-0.1476275932,0.0035064022,0.4463807025,0.0285118844,-0.1756374871,0.8423433212,0.4434926324,-0.4170102153
29,15.945,0.73,0.09,0.4463807025,0.0285118844,-0.1756374871,0.8423433212,0.4434926324,-0.4170102153,0.5117014613,0.0398653323,-0.1917937705,0.6982842034,-0.2050519727,0.0259058831
30,16.048,0.73,0.09,0.5117014613,0.0398653323,-0.1917937705,0.6982842034,-0.2050519727,0.0259058831,0.6112637204,0.0289317687,-0.1718506112,1.014621448,0.2139922311,0.2382172167
31,16.145,0.73,0.09,0.6112637204,0.0289317687,-0.1718506112,1.014621448,0.2139922311,0.2382172167,0.6961009357,0.0615049752,-0.1444466283,0.6445140766,0.3772494487,0.2644281396
32,16.246,0.73,0.09,0.6961009357,0.0615049752,-0.1444466283,0.6445140766,0.3772494487,0.2644281396,0.7366301598,0.0899710023,-0.1256984896,0.0416710699,0.088714685,0.0436967114
33,16.349,0.73,0.09,0.7366301598,0.0899710023,-0.1256984896,0.0416710699,0.088714685,0.0436967114,0.4015740583,0.0009121547,-0.1366747116,-0.3700796233,-0.2791997734,0.0445383365
34,16.991,0.67,-0.13,0.4015740583,0.0009121547,-0.1366747116,-0.3700796233,-0.2791997734,0.0445383365,0.4384648968,0.0255977542,-0.1603781751,1.08198276,0.3674723738,-0.1778534149
35,17.091,0.67,-0.13,0.4384648968,0.0255977542,-0.1603781751,1.08198276,0.3674723738,-0.1778534149,0.5605970904,0.0357396366,-0.1589585336,1.3294512987,-0.195123285,0.1530967303
36,17.193,0.67,-0.13,0.5605970904,0.0357396366,-0.1589585336,1.3294512987,-0.195123285,0.1530967303,0.6575775565,-0.0125200429,-0.1388879689,0.4853889348,-0.8153773719,0.1603884675
37,17.291,0.67,-0.13,0.6575775565,-0.0125200429,-0.1388879689,0.4853889348,-0.8153773719,0.1603884675,0.6733924558,-0.1034921537,-0.1326451561,-0.063800804,-1.0700798567,-0.0016889142
38,17.391,0.67,-0.13,0.6733924558,-0.1034921537,-0.1326451561,-0.063800804,-1.0700798567,-0.0016889142,0.65915942,-0.1678529213,-0.1337591772,-0.0835808228,-0.1087095476,-0.0156974777
39,17.491,0.67,-0.13,0.65915942,-0.1678529213,-0.1337591772,-0.0835808228,-0.1087095476,-0.0156974777,0.4062604857,0.0099261235,-0.1364112057,-0.0190711791,-0.1680137983,-0.0022604988
40,18.267,0.59,-0.04,0.4062604857,0.0099261235,-0.1364112057,-0.0190711791,-0.1680137983,-0.0022604988,0.4326095657,0.0339245304,-0.1527824508,0.7018778402,0.4418386006,-0.0497484524
41,18.367,0.59,-0.04,0.4326095657,0.0339245304,-0.1527824508,0.7018778402,0.4418386006,-0.0497484524,0.5309186501,0.0608886948,-0.1396082105,0.8929707244,0.0543289578,0.184099285
42,18.468,0.59,-0.04,0.5309186501,0.0608886948,-0.1396082105,0.8929707244,0.0543289578,0.184099285,0.5829792721,0.0335168132,-0.1299820515,0.2777335254,-0.6795152319,0.0236735443
43,18.567,0.59,-0.04,0.5829792721,0.0335168132,-0.1299820515,0.2777335254,-0.6795152319,0.0236735443,0.5866504132,-0.0505311495,-0.1329051274,-0.0910569556,-0.4927808892,-0.0482920285
44,18.667,0.59,-0.04,0.5866504132,-0.0505311495,-0.1329051274,-0.0910569556,-0.4927808892,-0.0482920285,0.5833522931,-0.0563635077,-0.135458365,0.0460368967,0.2873926824,-0.0160671185
45,18.767,0.59,-0.04,0.5833522931,-0.0563635077,-0.135458365,0.0460368967,0.2873926824,-0.0160671185,0.4013459412,0.0043056244,-0.1352709604,-0.0642509787,0.1252473572,-0.0279651363
46,19.48,0.59,-0.32,0.4013459412,0.0043056244,-0.1352709604,-0.0642509787,0.1252473572,-0.0279651363,0.3658482972,0.0020931492,-0.1999870578,-0.3043032497,-0.0922837875,-0.6979811917
47,19.582,0.59,-0.32,0.3658482972,0.0020931492,-0.1999870578,-0.3043032497,-0.0922837875,-0.6979811917,0.371412312,-0.0306207999,-0.2293524805,0.435582389,-0.5802790246,0.0722633362
48,19.689,0.59,-0.32,0.371412312,-0.0306207999,-0.2293524805,0.435582389,-0.5802790246,0.0722633362,0.4139135619,-0.1042901841,-0.2135062384,0.6569141324,-1.256891102,0.2339539477
49,19.782,0.59,-0.32,0.4139135619,-0.1042901841,-0.2135062384,0.6569141324,-1.256891102,0.2339539477,0.5073204037,-0.2502446594,-0.1743337032,0.7767033253,-0.9490281188,0.4127714945
50,19.885,0.59,-0.32,0.5073204037,-0.2502446594,-0.1743337032,0.7767033253,-0.9490281188,0.4127714945,0.5646536976,-0.308844512,-0.1409295975,0.4912370345,-0.3942592714,0.2788127973
