counter,time,right_j0,right_j1,right_j2,right_j3,right_j4,right_j5,right_j6,cube_pose_x,cube_pose_y,right_gripper
21,24.879000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.66,-0.2,0.0
22,25.079000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.66,-0.2,0.0
23,25.279000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.66,-0.2,0.0
24,25.480000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.66,-0.2,0.0
25,25.796000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.54,-0.25,0.0
26,25.996000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.54,-0.25,0.0
27,26.197000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.54,-0.25,0.0
28,26.398000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.54,-0.25,0.0
29,26.601000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.54,-0.25,0.0
30,26.951000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,0.03,0.0
31,27.153000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,0.03,0.0
32,27.353000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,0.03,0.0
33,27.554000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,0.03,0.0
34,27.759000,-0.247795671115,1.56478479071,0.163001602427,-0.0104232423939,-0.0348236581345,-0.0425085280623,0.0177049311304,0.61,0.03,0.0
