right_j0,right_j1,right_j2,right_j3,right_j4,right_j5,"right_j6, eef_pose_x, eef_pose_y, eef_pose_z"
-0.8827795906,-0.4862997267,0.8154282582,2.7769111823,1.0142618883,-0.8597588411,1.9080314364,0.3999919276073939,8.094643788238765e-06,-1.7834793010526595e-05
-0.5742403185,-0.5528574722,1.0207769464,2.463011487,1.6289378252,-0.8402827276,1.7140168518,0.5533227578865829,0.11428538220939823,-0.012625595680949644
-0.5173653795,-0.5522553997,1.0647834243,2.3873538798,1.642384522,-0.8359406061,1.6793370556,0.5874410498691501,0.16454697916371575,0.0016139396290288238
-0.7719706068,-0.5451315934,0.614656247,2.7006229506,0.8650690798,-0.6999525979,1.9758945749,0.40222717415318643,-0.00028163192348640444,0.0010097707400543374
-0.4636769762,-0.5329350801,0.8554620977,2.3073502837,1.5127284134,-0.8200901617,1.4623375876,0.5980799097771085,0.1142361450217011,-0.02208056205224894
-0.2260305664,-0.533663134,0.9427446168,2.007727895,1.9267566797,-0.8144617834,1.4023230745,0.6665783816017495,0.26198916307239056,-0.002378425611044368
-0.5511138177,-0.5783272592,0.2480601165,2.517062991,0.5289048599,-0.4031487023,2.2133026973,0.40071304718057127,0.006516372367550881,0.00016321700136582434
-0.21598448,-0.3253347194,-0.1403442471,2.0999304991,0.7215995895,0.2753358045,2.408419828,0.4188876427501538,-0.007398074651012188,-0.07617203277134584
0.061213138,-0.3232424105,-0.2754944894,1.7068259765,0.7162736502,0.4612970542,2.4133292319,0.5895312602809846,0.0613878765891343,-0.03358043620480619
-0.4020516556,-0.5605173625,-0.0188375389,2.2077825748,-0.1386564415,-0.0713621297,2.8690778085,0.399472639004096,-0.004321944670632033,-0.001656215984311274
-0.0814811305,-0.5268503117,-0.0785114842,2.0688001872,0.427864756,0.1151256153,2.6880347701,0.4902247544181779,0.07653500454479709,-0.01015290539765018
0.2529024011,-0.5355037755,-0.0842274658,2.0132676359,0.6886574035,0.1181377278,2.6709690669,0.5039815301001194,0.22966571623019238,0.0021796351477335572
-0.4208446926,-0.5647477964,0.0033426558,2.281932028,0.0531111899,-0.1543266174,2.6803193645,0.40215597007696574,-0.004242776034965126,-0.00028016287193693284
-0.1098594755,-0.6663488499,0.3501419735,2.1758777747,0.6903385672,-0.4378703882,1.9237713024,0.5865610552506652,0.20850685776942943,0.04854953227010453
